,countyCode,total_coverage,total_claims,mean_total_coverage,mean_total_claims
0,01001,9449900.0,1343981.1500000001,122725.97402597402,17454.30064935065
1,01003,10007685200.0,697512528.9,476987.9986654592,33243.3766514155
2,01005,4832200.0,711648.5299999999,134227.77777777778,19768.01472222222
3,01007,756500.0,32899.509999999995,68772.72727272728,2990.864545454545
4,01009,5627500.0,814529.6,200982.14285714287,29090.342857142856
5,01011,425100.0,62114.64,106275.0,15528.66
6,01013,330000.0,9900.0,110000.0,3300.0
7,01015,9494600.0,618526.75,75956.8,4948.214
8,01017,5678300.0,918814.6100000001,246882.60869565216,39948.46130434783
9,01019,10911200.0,265543.86,419661.53846153844,10213.225384615384
10,01021,801900.0,42225.27,89100.0,4691.696666666667
11,01023,2723800.0,524009.55000000005,54476.0,10480.191
12,01025,3641400.0,894585.01,117464.51612903226,28857.580967741935
13,01027,78000.0,0.0,78000.0,0.0
14,01031,59253100.0,17906659.83,100428.98305084746,30350.270898305083
15,01033,12009100.0,1807184.3,87022.46376811594,13095.538405797102
16,01035,99500.0,62489.5,33166.666666666664,20829.833333333332
17,01037,2048100.0,186063.61,186190.9090909091,16914.873636363634
18,01039,3197300.0,407568.45,81982.05128205128,10450.473076923077
19,01041,72100.0,0.0,36050.0,0.0
20,01043,7148200.0,718516.28,170195.2380952381,17107.530476190477
21,01045,14191300.0,3665813.98,97200.68493150685,25108.314931506848
22,01047,11031300.0,1903423.18,57156.99481865285,9862.296269430051
23,01049,5375200.0,1038204.25,134380.0,25955.10625
24,01051,9599300.0,804782.07,152369.84126984127,12774.31857142857
25,01053,57779000.0,14205414.05,149299.7416020672,36706.496253229976
26,01055,11580800.0,783677.0700000001,90475.0,6122.4771093750005
27,01059,480800.0,52093.229999999996,120200.0,13023.307499999999
28,01061,12917300.0,2807808.91,82803.20512820513,17998.775064102567
29,01063,11333000.0,1710879.37,85210.52631578948,12863.754661654137
30,01065,7710000.0,952967.28,64250.0,7941.394
31,01067,1614200.0,188995.36000000002,94952.94117647059,11117.37411764706
32,01069,26783400.0,3622218.91,149627.93296089384,20235.859832402235
33,01071,7329400.0,743775.75,99045.94594594595,10051.023648648648
34,01073,376628100.0,48393868.65,128849.84604858022,16556.232860075266
35,01075,513900.0,66572.15,36707.142857142855,4755.153571428571
36,01077,15423000.0,1349204.93,110956.8345323741,9706.510287769785
37,01079,3566400.0,565083.24,91446.15384615384,14489.313846153846
38,01081,8917500.0,353490.65,156447.36842105264,6201.5903508771935
39,01083,9918900.0,685906.01,168116.94915254237,11625.52559322034
40,01085,687600.0,121634.28,68760.0,12163.428
41,01087,910000.0,24413.45,303333.3333333333,8137.816666666667
42,01089,117155500.0,10282170.74,150973.5824742268,13250.220025773197
43,01091,2168700.0,188570.99,52895.12195121951,4599.29243902439
44,01093,947200.0,169534.86,86109.09090909091,15412.259999999998
45,01095,8799600.0,1229725.36,204641.86046511628,28598.264186046516
46,01097,2018885000.0,365075040.73,131806.8159561272,23834.63085003591
47,01099,1157600.0,112244.35,46304.0,4489.774
48,01101,57541500.0,6568816.19,140688.26405867972,16060.675281173595
49,01103,34075800.0,3093752.53,168692.0792079208,15315.606584158415
50,01105,62500.0,7314.9,31250.0,3657.45
51,01107,11575400.0,1190955.21,98096.61016949153,10092.840762711865
52,01111,70000.0,15828.970000000001,70000.0,15828.970000000001
53,01113,8126900.0,567813.23,147761.81818181818,10323.876909090908
54,01115,18136200.0,1508312.28,185063.26530612246,15390.94163265306
55,01117,120870000.0,20603892.3,143210.90047393364,24412.194668246448
56,01119,718700.0,143797.58000000002,55284.61538461538,11061.352307692308
57,01121,15904500.0,1333088.15,157470.29702970298,13198.892574257425
58,01123,1440000.0,57533.47,240000.0,9588.911666666667
59,01125,42418900.0,3441812.46,136395.1768488746,11066.921093247589
60,01127,11005300.0,724242.98,159497.10144927536,10496.275072463768
61,01129,967900.0,114715.98,74453.84615384616,8824.306153846153
62,01131,1500500.0,124097.36,71452.38095238095,5909.398095238095
63,01133,6805600.0,454121.60000000003,272224.0,18164.864
64,02016,45400.0,22332.52,45400.0,22332.52
65,02020,12437500.0,273089.44,163651.31578947368,3593.282105263158
66,02050,3722600.0,297631.93,90795.12195121951,7259.3153658536585
67,02090,32241600.0,3074073.4,126935.43307086614,12102.651181102361
68,02110,10267900.0,699308.54,238788.37209302327,16262.989302325583
69,02122,14338900.0,615464.0,186219.4805194805,7993.038961038961
70,02130,2133200.0,129452.19999999998,237022.22222222222,14383.577777777777
71,02158,10000.0,10000.0,10000.0,10000.0
72,02170,11582100.0,1681088.77,146608.86075949366,21279.604683544305
73,02180,4457300.0,596773.0,342869.23076923075,45905.61538461538
74,02185,133100.0,55781.71,133100.0,55781.71
75,02188,559400.0,11322.779999999999,111880.0,2264.5559999999996
76,02195,330800.0,0.0,165400.0,0.0
77,02220,697000.0,20130.27,116166.66666666667,3355.045
78,02261,1448500.0,68030.44,181062.5,8503.805
79,02270,36400.0,13411.25,18200.0,6705.625
80,02290,10493600.0,3341499.46,145744.44444444444,46409.71472222222
81,04001,1052700.0,35297.27,95700.0,3208.842727272727
82,04003,13103000.0,574127.8,118045.04504504504,5172.322522522523
83,04005,59440500.0,4493205.9,220968.40148698885,16703.367657992567
84,04007,14380500.0,3046366.34,101989.36170212766,21605.435035460992
85,04009,3667100.0,340890.17,89441.46341463414,8314.394390243902
86,04011,4620400.0,2220577.61,32086.11111111111,15420.677847222221
87,04012,11638200.0,1056811.71,102992.9203539823,9352.316017699115
88,04013,313051500.0,24785379.06,119851.26339969372,9489.042519142418
89,04015,15262400.0,1288123.91,99106.49350649351,8364.440974025974
90,04017,11629400.0,1088826.26,107679.62962962964,10081.724629629629
91,04019,90264300.0,7254601.52,158916.02112676058,12772.185774647887
92,04021,22438800.0,5446558.5,147623.68421052632,35832.62171052631
93,04023,19551700.0,1304156.17,118495.15151515152,7903.976787878787
94,04025,65387500.0,6726905.58,142146.73913043478,14623.707782608695
95,04027,10464900.0,835317.87,89443.58974358975,7139.468974358974
96,05001,5656500.0,1462534.99,65017.24137931035,16810.74701149425
97,05003,3136500.0,826951.36,52275.0,13782.522666666666
98,05005,15662500.0,2801722.3,133867.52136752137,23946.344444444443
99,05007,60533100.0,9569408.57,180158.0357142857,28480.382648809526
100,05009,5118200.0,484500.31,146234.2857142857,13842.866
101,05011,4814600.0,1010622.92,89159.25925925926,18715.23925925926
102,05013,1721000.0,148393.61,191222.22222222222,16488.178888888888
103,05015,320000.0,5936.469999999999,160000.0,2968.2349999999997
104,05017,13093900.0,3322455.76,92210.56338028169,23397.575774647885
105,05019,2794600.0,547050.75,107484.61538461539,21040.41346153846
