,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__subsample,param_clf__n_estimators,param_clf__max_depth,param_clf__learning_rate,param_clf__colsample_bytree,param_clf__colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,101.01141600608825,0.6340928699728192,6.1486509323120115,0.17875414286234506,0.5,100,40,0.1,0.6,0.7999999999999999,"{'clf__subsample': 0.5, 'clf__n_estimators': 100, 'clf__max_depth': 40, 'clf__learning_rate': 0.1, 'clf__colsample_bytree': 0.6, 'clf__colsample_bylevel': 0.7999999999999999}",0.7260685583628852,0.7263860808579022,0.7248922436221643,0.7305489432521655,0.7283322475019371,0.7272456147194108,0.0019877306581247015,29
1,172.68379678726197,10.12903948345286,20.151584529876708,0.6925084282515181,0.5,250,80,0.1,0.5,0.4,"{'clf__subsample': 0.5, 'clf__n_estimators': 250, 'clf__max_depth': 80, 'clf__learning_rate': 0.1, 'clf__colsample_bytree': 0.5, 'clf__colsample_bylevel': 0.4}",0.7248097644159655,0.7257775637507725,0.7255843214332821,0.7284200323205221,0.7283439072782687,0.7265871178397622,0.0015010561797586827,38
2,32.944952201843265,0.23773366244535857,0.7106627464294434,0.028105635141653505,0.5,250,,0.3,0.6,0.5,"{'clf__subsample': 0.5, 'clf__n_estimators': 250, 'clf__max_depth': None, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.6, 'clf__colsample_bylevel': 0.5}",0.7200371390446642,0.7167093771549944,0.7164814398058879,0.7209578451266883,0.717779113380168,0.7183929829024804,0.001797060308535675,85
3,407.69085559844973,3.7793716810685223,15.815749025344848,0.4751419730648602,0.5,250,90,0.3,0.8999999999999999,0.8999999999999999,"{'clf__subsample': 0.5, 'clf__n_estimators': 250, 'clf__max_depth': 90, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.8999999999999999, 'clf__colsample_bylevel': 0.8999999999999999}",0.7179654067746927,0.7224310651109594,0.7218891861643358,0.7239542548331368,0.7201400432252225,0.7212759912216695,0.0020559011129496303,74
4,278.317473077774,2.6194829570417384,20.82376012802124,0.7264631744013994,0.8999999999999999,250,80,0.3,0.5,0.7,"{'clf__subsample': 0.8999999999999999, 'clf__n_estimators': 250, 'clf__max_depth': 80, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.5, 'clf__colsample_bylevel': 0.7}",0.7264768564212526,0.7264651191116837,0.726483850762172,0.7285200801262294,0.7269091451902093,0.7269710103223093,0.0007925759249356118,31
5,70.09614667892455,1.4446104749950623,4.996489191055298,0.1754783681087635,0.8999999999999999,100,30,0.3,0.4,0.7,"{'clf__subsample': 0.8999999999999999, 'clf__n_estimators': 100, 'clf__max_depth': 30, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.4, 'clf__colsample_bylevel': 0.7}",0.7281440869390107,0.7266088029480959,0.724841582117755,0.7305251086008483,0.7289856795180899,0.72782105202476,0.0019554753627367798,17
6,2508.1484858512877,367.0765396874658,1047.0972300052642,33.90333003924373,0.5,500,80,0.1,0.7999999999999999,0.5,"{'clf__subsample': 0.5, 'clf__n_estimators': 500, 'clf__max_depth': 80, 'clf__learning_rate': 0.1, 'clf__colsample_bytree': 0.7999999999999999, 'clf__colsample_bylevel': 0.5}",0.7236288104744932,0.7267494783627361,0.7252407119596167,0.7278651736463911,0.7270234670975536,0.7261015283081582,0.0014990392626299818,42
7,2626.865050458908,2213.3721357606837,391.3942138671875,459.06110160299033,0.5,250,40,0.01,0.7999999999999999,0.7999999999999999,"{'clf__subsample': 0.5, 'clf__n_estimators': 250, 'clf__max_depth': 40, 'clf__learning_rate': 0.01, 'clf__colsample_bytree': 0.7999999999999999, 'clf__colsample_bylevel': 0.7999999999999999}",0.7202942495938566,0.7177671739137588,0.720566882113718,0.726425055220741,0.7225584795290346,0.7215223680742218,0.0028855703009543435,73
8,1040.4757056236267,37.77330462043007,5.4511981964111325,0.14754990818161062,0.6,100,60,0.1,0.5,0.5,"{'clf__subsample': 0.6, 'clf__n_estimators': 100, 'clf__max_depth': 60, 'clf__learning_rate': 0.1, 'clf__colsample_bytree': 0.5, 'clf__colsample_bylevel': 0.5}",0.7265156019382578,0.7238934770589981,0.7244562720113429,0.7291642472676599,0.7274435852877937,0.7262946367128105,0.0019364258650418264,40
9,2080.5784346580504,36.79957682291948,419.1208063602447,500.39527448348844,0.7999999999999999,250,20,0.01,0.4,0.7999999999999999,"{'clf__subsample': 0.7999999999999999, 'clf__n_estimators': 250, 'clf__max_depth': 20, 'clf__learning_rate': 0.01, 'clf__colsample_bytree': 0.4, 'clf__colsample_bylevel': 0.7999999999999999}",0.7056829332792155,0.7006168643023818,0.7032222230637138,0.7051553680356498,0.7034084865958584,0.7036171750553639,0.0017795953049674277,94
10,2776.1090764045716,499.35994737423624,378.63129487037656,445.0404416886324,0.7999999999999999,250,80,0.3,0.4,0.7,"{'clf__subsample': 0.7999999999999999, 'clf__n_estimators': 250, 'clf__max_depth': 80, 'clf__learning_rate': 0.3, 'clf__colsample_bytree': 0.4, 'clf__colsample_bylevel': 0.7}",0.7257371312861499,0.7259016764636852,0.7230527175040147,0.727357813743907,0.7258851820116957,0.7255869042018904,0.0013977726733026615,49
