,countyCode,County,State,county_state,total_coverage
85,04013,Maricopa,AZ,"Maricopa County, AZ","$313,051,500"
86,04015,Mohave,AZ,"Mohave County, AZ","$15,262,400"
87,04017,Navajo,AZ,"Navajo County, AZ","$11,629,400"
88,04019,Pima,AZ,"Pima County, AZ","$90,264,300"
89,04021,Pinal,AZ,"Pinal County, AZ","$22,438,800"
90,04023,Santa Cruz,AZ,"Santa Cruz County, AZ","$19,551,700"
91,04025,Yavapai,AZ,"Yavapai County, AZ","$65,387,500"
92,04027,Yuma,AZ,"Yuma County, AZ","$10,464,900"
93,05001,Arkansas,AR,"Arkansas County, AR","$5,656,500"
94,05003,Ashley,AR,"Ashley County, AR","$3,136,500"
95,05005,Baxter,AR,"Baxter County, AR","$15,662,500"
96,05007,Benton,AR,"Benton County, AR","$60,533,100"
97,05009,Boone,AR,"Boone County, AR","$5,118,200"
98,05011,Bradley,AR,"Bradley County, AR","$4,814,600"
99,05013,Calhoun,AR,"Calhoun County, AR","$1,721,000"
100,05015,Carroll,AR,"Carroll County, AR","$320,000"
101,05017,Chicot,AR,"Chicot County, AR","$13,093,900"
102,05019,Clark,AR,"Clark County, AR","$2,794,600"
103,05021,Clay,AR,"Clay County, AR","$10,365,500"
104,05023,Cleburne,AR,"Cleburne County, AR","$6,385,400"
105,05025,Cleveland,AR,"Cleveland County, AR","$180,000"
106,05027,Columbia,AR,"Columbia County, AR","$752,100"
107,05029,Conway,AR,"Conway County, AR","$1,919,600"
108,05031,Craighead,AR,"Craighead County, AR","$41,167,500"
109,05033,Crawford,AR,"Crawford County, AR","$11,233,200"
110,05035,Crittenden,AR,"Crittenden County, AR","$50,884,000"
111,05037,Cross,AR,"Cross County, AR","$6,174,200"
112,05039,Dallas,AR,"Dallas County, AR","$67,100"
113,05041,Desha,AR,"Desha County, AR","$12,642,400"
114,05043,Drew,AR,"Drew County, AR","$3,966,700"
115,05045,Faulkner,AR,"Faulkner County, AR","$45,405,000"
116,05047,Franklin,AR,"Franklin County, AR","$4,328,400"
117,05049,Fulton,AR,"Fulton County, AR","$3,324,100"
118,05051,Garland,AR,"Garland County, AR","$35,619,100"
119,05053,Grant,AR,"Grant County, AR","$1,398,400"
120,05055,Greene,AR,"Greene County, AR","$10,476,100"
121,05057,Hempstead,AR,"Hempstead County, AR","$1,295,600"
122,05059,Hot Spring,AR,"Hot Spring County, AR","$1,509,100"
123,05061,Howard,AR,"Howard County, AR","$1,476,000"
124,05063,Independence,AR,"Independence County, AR","$12,049,200"
125,05065,Izard,AR,"Izard County, AR","$6,752,400"
126,05067,Jackson,AR,"Jackson County, AR","$10,381,400"
127,05069,Jefferson,AR,"Jefferson County, AR","$49,105,600"
128,05071,Johnson,AR,"Johnson County, AR","$351,000"
129,05073,Lafayette,AR,"Lafayette County, AR","$169,500"
130,05075,Lawrence,AR,"Lawrence County, AR","$2,556,300"
131,05077,Lee,AR,"Lee County, AR","$2,244,900"
132,05079,Lincoln,AR,"Lincoln County, AR","$2,474,200"
133,05081,Little River,AR,"Little River County, AR","$517,000"
134,05083,Logan,AR,"Logan County, AR","$423,600"
135,05085,Lonoke,AR,"Lonoke County, AR","$9,994,500"
136,05087,Madison,AR,"Madison County, AR","$751,400"
137,05089,Marion,AR,"Marion County, AR","$235,000"
138,05091,Miller,AR,"Miller County, AR","$10,946,900"
139,05093,Mississippi,AR,"Mississippi County, AR","$9,141,200"
140,05095,Monroe,AR,"Monroe County, AR","$9,659,700"
141,05097,Montgomery,AR,"Montgomery County, AR","$3,861,900"
142,05099,Nevada,AR,"Nevada County, AR","$105,000"
143,05101,Newton,AR,"Newton County, AR","$447,300"
144,05103,Ouachita,AR,"Ouachita County, AR","$3,831,100"
145,05105,Perry,AR,"Perry County, AR","$3,645,100"
146,05107,Phillips,AR,"Phillips County, AR","$17,073,400"
147,05109,Pike,AR,"Pike County, AR","$1,071,800"
148,05111,Poinsett,AR,"Poinsett County, AR","$10,604,700"
149,05113,Polk,AR,"Polk County, AR","$2,571,800"
150,05115,Pope,AR,"Pope County, AR","$10,222,900"
151,05117,Prairie,AR,"Prairie County, AR","$5,852,200"
152,05119,Pulaski,AR,"Pulaski County, AR","$195,371,300"
153,05121,Randolph,AR,"Randolph County, AR","$28,600,000"
154,05123,St. Francis,AR,"St. Francis County, AR","$2,195,900"
155,05125,Saline,AR,"Saline County, AR","$29,725,400"
